experiment,game,method,trajectory_id,init_p1,init_p2,step,coop_p1,coop_p2,success
trajectory,stag_hunt,standard_pg,2,0.08,0.5,8,0.05580880601617104,0.16146009076111292,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,10,0.051879575702264445,0.13440968268021258,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,12,0.048566455721865714,0.11521551545737968,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,14,0.04536148214537146,0.09924175610597845,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,16,0.04310889898134747,0.08822897893543621,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,18,0.04117507672637524,0.07957275562533804,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,20,0.039162223821141144,0.07219926255973746,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,22,0.03695884914141393,0.065468079586044,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,24,0.035279522812929405,0.06031556917133474,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,26,0.03400563023193651,0.0564545376055947,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,28,0.03235545519543643,0.05239058135115789,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,30,0.030884478847519062,0.04890986785114443,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,32,0.029684685225913655,0.045948474493508897,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,34,0.028481234845409435,0.043223843818772915,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,36,0.02748135676183958,0.04095594813048761,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,38,0.026568478696224865,0.03893316276917979,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,40,0.025626639977955556,0.03700372438992023,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,42,0.02502354298583616,0.03563049884064937,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,44,0.024288905887435125,0.034148698980904245,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,46,0.023526977082718094,0.032676675319818736,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,48,0.022973953338408275,0.03153323135229938,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,50,0.022296853606243908,0.030295216765084836,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,52,0.021733043195510317,0.02925659068218214,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,54,0.02127602865755989,0.028392412572156484,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,56,0.020703482807135607,0.02740575878637761,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,58,0.02016661923448651,0.026487698796914278,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,60,0.019722898463184223,0.025721284411260637,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,62,0.019244755497744733,0.024918823545769617,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,64,0.01879000216835905,0.024173247103928246,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,66,0.018475157685948342,0.023629877170422097,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,68,0.018060648714998333,0.02296354608464395,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,70,0.017665329957668705,0.022337632812987337,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,72,0.017398628625180195,0.02188484791005434,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,74,0.017088415195709958,0.021389419113464654,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,76,0.016736313032000003,0.02085890076044473,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,78,0.016401903558300623,0.020354316956905844,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,80,0.016083667880419702,0.019873457457674482,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,82,0.0157810380278106,0.01941287661489896,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,84,0.01548988352508533,0.018978642989207806,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,86,0.015210626366355822,0.018563738133572618,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,88,0.014944256125573766,0.018166371732754368,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,90,0.014686745296965472,0.017789571332936793,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,92,0.014438120779875526,0.017431785631295414,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,94,0.014243087752572256,0.017135566003071874,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,96,0.014012697545813186,0.016801931463594603,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,98,0.013790164168817136,0.016484859295475038,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,100,0.013575772532539625,0.016178819662214333,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,102,0.013368936582604903,0.015885893174070242,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,104,0.013167698952501805,0.01560578631853617,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,106,0.012973460396987768,0.01533574911988315,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,108,0.012786096219793382,0.015075569877268697,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,110,0.0126052400075694,0.014824217956144197,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,112,0.012430327084178785,0.014582802703476715,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,114,0.012259073208473503,0.014350290708112818,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,116,0.01209330211772253,0.014125749853466001,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,118,0.011934409015972208,0.013907640663190399,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,120,0.011779183158172439,0.013697999972054085,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,122,0.011628378684711931,0.013495160466169515,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,124,0.011481327677320899,0.013298916312172015,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,126,0.011338348444979557,0.013109928367668186,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,128,0.011231762151494774,0.012962128360926169,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,130,0.01109616413225708,0.01278244026765343,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,132,0.010964320515205522,0.012608008975037336,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,134,0.010835575065532574,0.012440240402350585,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,136,0.010710381448641863,0.012276332409590827,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,138,0.010588039020362447,0.012117907581709341,0
trajectory,stag_hunt,standard_pg,2,0.08,0.5,139,0.010557323267657199,0.012073799483016803,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,0,0.08055764122949975,0.6656321390283945,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,2,0.07818048152687755,0.5652416267372629,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,4,0.07354834029358931,0.4481241969790202,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,6,0.07144755836406008,0.34523948849444347,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,8,0.06929353596509809,0.27384029371078694,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,10,0.06672555693585186,0.2218313380525296,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,12,0.06303165388128369,0.17835333716311266,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,14,0.05816956724030821,0.1474528815917507,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,16,0.054861187451615334,0.12651861647371032,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,18,0.051603909777706104,0.11020764197048573,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,20,0.048828779801079636,0.09795988977075105,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,22,0.04679822303652337,0.08885053422896183,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,24,0.044353954397693886,0.08044161051585855,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,26,0.042520808895558704,0.0739870288525387,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,28,0.04063670956777102,0.06803469428197775,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,30,0.03870229620130282,0.06261410117920493,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,32,0.036910411508679276,0.05817923858197496,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,34,0.03509117840529196,0.053922463376140775,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,36,0.0335698546514092,0.05043890180207291,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,38,0.03243801102182073,0.04769042438569543,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,40,0.03105810204441572,0.04484868829153557,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,42,0.02980449392157157,0.04233198538190051,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,44,0.028650889221522886,0.04011593405239134,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,46,0.027772011109831785,0.03837860092890081,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,48,0.02686987697529905,0.03668466672442489,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,50,0.02595235121978312,0.0350254480648693,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,52,0.025177026218842703,0.03365602505852268,0
trajectory,stag_hunt,standard_pg,3,0.08,0.7100000000000001,54,0.024394860954414,0.03226180720400208,0
