experiment,game,method,seed,success,final_reward_mean,final_coop_min,final_coop_mean
ablation,stag_hunt,lola_style,13,1,3.93626240437431,0.9846602772325075,0.9871572602508192
ablation,stag_hunt,lola_style,14,0,1.9934549075378452,0.006514998441446799,0.006678832341866425
ablation,stag_hunt,lola_style,15,0,1.9933341997259895,0.00656986524738723,0.006804540365535769
ablation,stag_hunt,lola_style,16,0,1.9924644139636638,0.0076279485791419695,0.007714085104847557
ablation,stag_hunt,lola_style,17,0,1.9920611762078846,0.00808698184494638,0.008137471470298238
ablation,stag_hunt,lola_style,18,0,1.9889139443715336,0.01147028855665548,0.011481531978975338
ablation,stag_hunt,lola_style,19,0,1.9927434021051251,0.007401581919940908,0.007421848152720429
ablation,stag_hunt,meta_mapg,0,0,1.992945086621319,0.007205816708720934,0.007210904742639031
ablation,stag_hunt,meta_mapg,1,0,1.9929719999346545,0.007024248253920494,0.0071826982067714415
ablation,stag_hunt,meta_mapg,2,1,3.9118921937546864,0.9801344501537231,0.9821906722884963
ablation,stag_hunt,meta_mapg,3,1,3.9267970786031676,0.9845895340219265,0.9852287469260916
ablation,stag_hunt,meta_mapg,4,1,3.9300090445179494,0.9850003020456091,0.9858826971320843
ablation,stag_hunt,meta_mapg,5,1,3.9381480786096184,0.9862601658972037,0.9875374047572767
ablation,stag_hunt,meta_mapg,6,1,3.918772402318363,0.9834413323503195,0.9835929800803059
ablation,stag_hunt,meta_mapg,7,0,1.9925654368096042,0.007603384321256495,0.007608218066754508
ablation,stag_hunt,meta_mapg,8,0,1.9929798827127412,0.0070545882608817456,0.00717449425851004
ablation,stag_hunt,meta_mapg,9,0,1.9929605586011276,0.00704777941262404,0.0071946663429193125
ablation,stag_hunt,meta_mapg,10,1,3.925476279521933,0.9844048563039212,0.9849597145124371
ablation,stag_hunt,meta_mapg,11,0,1.9931961005460312,0.006672105774641299,0.0069485158645134475
ablation,stag_hunt,meta_mapg,12,0,1.9916776453578624,0.00853406965438608,0.00854121136380918
ablation,stag_hunt,meta_mapg,13,1,3.936242133596982,0.9846552324628625,0.9871531454580216
ablation,stag_hunt,meta_mapg,14,0,1.993417305710102,0.006552916636876854,0.006718007395104888
ablation,stag_hunt,meta_mapg,15,0,1.993327880782632,0.006574767548423988,0.00681112593085082
ablation,stag_hunt,meta_mapg,16,0,1.9924226782552883,0.007672864578890217,0.007757852921512043
ablation,stag_hunt,meta_mapg,17,0,1.9920522928681508,0.008095498235324346,0.008146810812133821
ablation,stag_hunt,meta_mapg,18,0,1.9888764277455082,0.011510479231693403,0.011521829535541879
ablation,stag_hunt,meta_mapg,19,0,1.992735588606807,0.007409196951062176,0.007430025948434914
ablation,ipd,standard_pg,0,0,9.765062314178923,0.008991830821360298,0.012097990332722883
ablation,ipd,standard_pg,1,0,9.768070479908566,0.009253699159900016,0.012853977713063312
ablation,ipd,standard_pg,2,0,9.76935053279285,0.008097029933445694,0.015045372697002402
ablation,ipd,standard_pg,3,0,11.889376314408754,0.020544473361110822,0.47815522364317375
ablation,ipd,standard_pg,4,0,9.812170011117306,0.009362126878237847,0.023063024454616922
ablation,ipd,standard_pg,5,0,11.201551715599035,0.03677061311292984,0.4704120430253729
ablation,ipd,standard_pg,6,0,9.773726075776784,0.01073299341045098,0.012696422623946314
ablation,ipd,standard_pg,7,0,9.765966644872805,0.009844736361775899,0.010116347845957554
ablation,ipd,standard_pg,8,0,9.814473090262414,0.01213856991089795,0.015433158201187878
ablation,ipd,standard_pg,9,0,9.801727655947602,0.012338514499207595,0.014978367214821632
ablation,ipd,standard_pg,10,0,9.755843225289434,0.006854331123712001,0.010541764792522406
ablation,ipd,standard_pg,11,0,9.771983261034503,0.012117062510934641,0.012215113072319258
ablation,ipd,standard_pg,12,0,9.752694193011342,0.009081775114623583,0.011321278834520204
ablation,ipd,standard_pg,13,0,9.916377890910514,0.0422721224477738,0.04481488571889648
ablation,ipd,standard_pg,14,0,9.744333805218101,0.007280527825953019,0.008295168362889205
ablation,ipd,standard_pg,15,0,9.758928836985572,0.01007939381213304,0.0112932846202164
ablation,ipd,standard_pg,16,0,9.750862653975314,0.007781693651134016,0.009806037882344172
ablation,ipd,standard_pg,17,0,9.786723626273764,0.015686626379456805,0.01703643108390908
ablation,ipd,standard_pg,18,0,9.78887610974763,0.010088290999206101,0.011843480997345031
ablation,ipd,standard_pg,19,0,9.76663558889718,0.00993088064405482,0.011614780206512802
ablation,ipd,meta_pg,0,0,9.771501418520002,0.009554846045467972,0.012025575880117986
