experiment,game,method,init_p1,init_p2,success,final_coop_min
basin,stag_hunt,standard_pg,0.49999999999999994,0.05,0,0.010945747900228979
basin,stag_hunt,standard_pg,0.49999999999999994,0.095,0,0.012386727668775037
basin,stag_hunt,standard_pg,0.49999999999999994,0.14,0,0.013224026076928673
basin,stag_hunt,standard_pg,0.49999999999999994,0.185,0,0.013453146947121469
basin,stag_hunt,standard_pg,0.49999999999999994,0.22999999999999998,0,0.014351594538845406
basin,stag_hunt,standard_pg,0.49999999999999994,0.27499999999999997,0,0.013997117410121664
basin,stag_hunt,standard_pg,0.49999999999999994,0.32,0,0.01516058771251949
basin,stag_hunt,standard_pg,0.49999999999999994,0.365,0,0.015497311923633407
basin,stag_hunt,standard_pg,0.49999999999999994,0.41,0,0.015283778877765282
basin,stag_hunt,standard_pg,0.49999999999999994,0.45499999999999996,0,0.015113124543579774
basin,stag_hunt,standard_pg,0.49999999999999994,0.49999999999999994,0,0.015670252251430317
basin,stag_hunt,standard_pg,0.49999999999999994,0.545,0,0.015701716024423665
basin,stag_hunt,standard_pg,0.49999999999999994,0.5900000000000001,0,0.017472263329997368
basin,stag_hunt,standard_pg,0.49999999999999994,0.635,0,0.015552991321210791
basin,stag_hunt,standard_pg,0.49999999999999994,0.68,0,0.01920193057762972
basin,stag_hunt,standard_pg,0.49999999999999994,0.725,0,0.018670630703154514
basin,stag_hunt,standard_pg,0.49999999999999994,0.77,1,0.8633405661488596
basin,stag_hunt,standard_pg,0.49999999999999994,0.8150000000000001,0,0.042381605343472704
basin,stag_hunt,standard_pg,0.49999999999999994,0.86,1,0.955235072722873
basin,stag_hunt,standard_pg,0.49999999999999994,0.905,1,0.9614749032004889
basin,stag_hunt,standard_pg,0.49999999999999994,0.95,1,0.9655607572427171
basin,stag_hunt,standard_pg,0.545,0.05,0,0.010906138403189906
basin,stag_hunt,standard_pg,0.545,0.095,0,0.013001245783829177
basin,stag_hunt,standard_pg,0.545,0.14,0,0.013624671179513322
basin,stag_hunt,standard_pg,0.545,0.185,0,0.013755092010779893
basin,stag_hunt,standard_pg,0.545,0.22999999999999998,0,0.014533814735252558
basin,stag_hunt,standard_pg,0.545,0.27499999999999997,0,0.014604184930446544
basin,stag_hunt,standard_pg,0.545,0.32,0,0.014595677463087826
basin,stag_hunt,standard_pg,0.545,0.365,0,0.014851625004693302
basin,stag_hunt,standard_pg,0.545,0.41,0,0.015140364461812337
basin,stag_hunt,standard_pg,0.545,0.45499999999999996,0,0.016092419619152778
basin,stag_hunt,standard_pg,0.545,0.49999999999999994,0,0.01599664218849533
basin,stag_hunt,standard_pg,0.545,0.545,0,0.016950426535960655
basin,stag_hunt,standard_pg,0.545,0.5900000000000001,0,0.018218248308450233
basin,stag_hunt,standard_pg,0.545,0.635,0,0.018004225781200707
basin,stag_hunt,standard_pg,0.545,0.68,0,0.02278277569266179
basin,stag_hunt,standard_pg,0.545,0.725,0,0.024824700442633643
basin,stag_hunt,standard_pg,0.545,0.77,0,0.046521521526982273
basin,stag_hunt,standard_pg,0.545,0.8150000000000001,1,0.9607640075537034
basin,stag_hunt,standard_pg,0.545,0.86,1,0.9604628711983411
basin,stag_hunt,standard_pg,0.545,0.905,1,0.96837556641358
basin,stag_hunt,standard_pg,0.545,0.95,1,0.969667090344442
basin,stag_hunt,standard_pg,0.5900000000000001,0.05,0,0.01067864998460405
basin,stag_hunt,standard_pg,0.5900000000000001,0.095,0,0.013001266191687216
basin,stag_hunt,standard_pg,0.5900000000000001,0.14,0,0.013167398957532626
basin,stag_hunt,standard_pg,0.5900000000000001,0.185,0,0.014533573614178157
basin,stag_hunt,standard_pg,0.5900000000000001,0.22999999999999998,0,0.014096367221288826
basin,stag_hunt,standard_pg,0.5900000000000001,0.27499999999999997,0,0.01426067617413162
basin,stag_hunt,standard_pg,0.5900000000000001,0.32,0,0.01529654667166134
basin,stag_hunt,standard_pg,0.5900000000000001,0.365,0,0.015746153021197074
basin,stag_hunt,standard_pg,0.5900000000000001,0.41,0,0.015223156872984846
basin,stag_hunt,standard_pg,0.5900000000000001,0.45499999999999996,0,0.015276869712618447
basin,stag_hunt,standard_pg,0.5900000000000001,0.49999999999999994,0,0.016787928819852995
basin,stag_hunt,standard_pg,0.5900000000000001,0.545,0,0.01720838692692945
basin,stag_hunt,standard_pg,0.5900000000000001,0.5900000000000001,0,0.017141294116894443
basin,stag_hunt,standard_pg,0.5900000000000001,0.635,0,0.019900698408481927
basin,stag_hunt,standard_pg,0.5900000000000001,0.68,1,0.940721062885094
basin,stag_hunt,standard_pg,0.5900000000000001,0.725,0,0.05038533893426786
basin,stag_hunt,standard_pg,0.5900000000000001,0.77,1,0.9599499420925323
basin,stag_hunt,standard_pg,0.5900000000000001,0.8150000000000001,1,0.9446664785409673
basin,stag_hunt,standard_pg,0.5900000000000001,0.86,1,0.9492902810901611
basin,stag_hunt,standard_pg,0.5900000000000001,0.905,1,0.9670293168865335
basin,stag_hunt,standard_pg,0.5900000000000001,0.95,1,0.959324994473361
basin,stag_hunt,standard_pg,0.635,0.05,0,0.011226611635997585
basin,stag_hunt,standard_pg,0.635,0.095,0,0.013366467913993148
basin,stag_hunt,standard_pg,0.635,0.14,0,0.013181148317063369
basin,stag_hunt,standard_pg,0.635,0.185,0,0.013814854888529158
basin,stag_hunt,standard_pg,0.635,0.22999999999999998,0,0.014882260224927847
basin,stag_hunt,standard_pg,0.635,0.27499999999999997,0,0.014876945706115727
basin,stag_hunt,standard_pg,0.635,0.32,0,0.015038358566725824
basin,stag_hunt,standard_pg,0.635,0.365,0,0.01508148989696758
basin,stag_hunt,standard_pg,0.635,0.41,0,0.01731111190391534
basin,stag_hunt,standard_pg,0.635,0.45499999999999996,0,0.01706484865348493
basin,stag_hunt,standard_pg,0.635,0.49999999999999994,0,0.018056037162718093
basin,stag_hunt,standard_pg,0.635,0.545,0,0.018297080834504487
basin,stag_hunt,standard_pg,0.635,0.5900000000000001,0,0.018158336182071567
basin,stag_hunt,standard_pg,0.635,0.635,0,0.02132888131821514
basin,stag_hunt,standard_pg,0.635,0.68,0,0.022245339985828047
basin,stag_hunt,standard_pg,0.635,0.725,1,0.9539288601750098
basin,stag_hunt,standard_pg,0.635,0.77,1,0.9561590621769696
basin,stag_hunt,standard_pg,0.635,0.8150000000000001,1,0.9599765286368135
basin,stag_hunt,standard_pg,0.635,0.86,1,0.9671060491177005
basin,stag_hunt,standard_pg,0.635,0.905,1,0.9671055089142896
basin,stag_hunt,standard_pg,0.635,0.95,1,0.9680442578409929
basin,stag_hunt,standard_pg,0.68,0.05,0,0.01085928577500323
basin,stag_hunt,standard_pg,0.68,0.095,0,0.012705790732173969
basin,stag_hunt,standard_pg,0.68,0.14,0,0.01379022786544051
basin,stag_hunt,standard_pg,0.68,0.185,0,0.01459776933886619
basin,stag_hunt,standard_pg,0.68,0.22999999999999998,0,0.015212319564340207
basin,stag_hunt,standard_pg,0.68,0.27499999999999997,0,0.015521404920566017
basin,stag_hunt,standard_pg,0.68,0.32,0,0.015270909525563661
basin,stag_hunt,standard_pg,0.68,0.365,0,0.016561411970268572
basin,stag_hunt,standard_pg,0.68,0.41,0,0.017325908989266333
basin,stag_hunt,standard_pg,0.68,0.45499999999999996,0,0.017194042850206894
basin,stag_hunt,standard_pg,0.68,0.49999999999999994,0,0.02132011054275572
basin,stag_hunt,standard_pg,0.68,0.545,0,0.0179427676558519
basin,stag_hunt,standard_pg,0.68,0.5900000000000001,0,0.0315065342134778
basin,stag_hunt,standard_pg,0.68,0.635,1,0.956217129661062
basin,stag_hunt,standard_pg,0.68,0.68,1,0.9356116044945151
basin,stag_hunt,standard_pg,0.68,0.725,0,0.042635539962876806
basin,stag_hunt,standard_pg,0.68,0.77,1,0.9612216863972167
basin,stag_hunt,standard_pg,0.68,0.8150000000000001,1,0.9585300231064673
basin,stag_hunt,standard_pg,0.68,0.86,1,0.9598048205850338
basin,stag_hunt,standard_pg,0.68,0.905,1,0.9688964802670395
basin,stag_hunt,standard_pg,0.68,0.95,1,0.9691871666109624
basin,stag_hunt,standard_pg,0.725,0.05,0,0.012113338587510854
basin,stag_hunt,standard_pg,0.725,0.095,0,0.012658100700788023
basin,stag_hunt,standard_pg,0.725,0.14,0,0.013744579883545454
basin,stag_hunt,standard_pg,0.725,0.185,0,0.014527313977527769
basin,stag_hunt,standard_pg,0.725,0.22999999999999998,0,0.016348767773967616
basin,stag_hunt,standard_pg,0.725,0.27499999999999997,0,0.015440089100058013
basin,stag_hunt,standard_pg,0.725,0.32,0,0.015859828941646475
basin,stag_hunt,standard_pg,0.725,0.365,0,0.016290563172925758
basin,stag_hunt,standard_pg,0.725,0.41,0,0.01808702646637098
basin,stag_hunt,standard_pg,0.725,0.45499999999999996,0,0.018157917285601944
basin,stag_hunt,standard_pg,0.725,0.49999999999999994,0,0.09352048418215611
basin,stag_hunt,standard_pg,0.725,0.545,0,0.021557475415999165
basin,stag_hunt,standard_pg,0.725,0.5900000000000001,1,0.8576978440788493
basin,stag_hunt,standard_pg,0.725,0.635,1,0.9364389969182426
basin,stag_hunt,standard_pg,0.725,0.68,1,0.9376347648638063
basin,stag_hunt,standard_pg,0.725,0.725,1,0.9548533926655568
basin,stag_hunt,standard_pg,0.725,0.77,1,0.9648585760084376
basin,stag_hunt,standard_pg,0.725,0.8150000000000001,1,0.9595053896125183
basin,stag_hunt,standard_pg,0.725,0.86,1,0.968502373598005
basin,stag_hunt,standard_pg,0.725,0.905,1,0.9642385711065893
basin,stag_hunt,standard_pg,0.725,0.95,1,0.9682511541990527
basin,stag_hunt,standard_pg,0.77,0.05,0,0.011456214802412509
basin,stag_hunt,standard_pg,0.77,0.095,0,0.012708441841848035
basin,stag_hunt,standard_pg,0.77,0.14,0,0.014071163323868081
basin,stag_hunt,standard_pg,0.77,0.185,0,0.014843819447761739
basin,stag_hunt,standard_pg,0.77,0.22999999999999998,0,0.01652019058933138
basin,stag_hunt,standard_pg,0.77,0.27499999999999997,0,0.016782907137776512
basin,stag_hunt,standard_pg,0.77,0.32,0,0.01749252674693651
basin,stag_hunt,standard_pg,0.77,0.365,0,0.023407849509560087
basin,stag_hunt,standard_pg,0.77,0.41,0,0.020048695700607626
basin,stag_hunt,standard_pg,0.77,0.45499999999999996,0,0.03392686911599728
basin,stag_hunt,standard_pg,0.77,0.49999999999999994,0,0.27594255620267516
basin,stag_hunt,standard_pg,0.77,0.545,1,0.9365934046652704
basin,stag_hunt,standard_pg,0.77,0.5900000000000001,0,0.02286030958062315
basin,stag_hunt,standard_pg,0.77,0.635,1,0.9539963053063434
basin,stag_hunt,standard_pg,0.77,0.68,1,0.9509810316816142
basin,stag_hunt,standard_pg,0.77,0.725,1,0.9627147535218644
basin,stag_hunt,standard_pg,0.77,0.77,1,0.9591775781233886
basin,stag_hunt,standard_pg,0.77,0.8150000000000001,1,0.9679250262252854
basin,stag_hunt,standard_pg,0.77,0.86,1,0.9715420111151049
basin,stag_hunt,standard_pg,0.77,0.905,1,0.9722770794704285
basin,stag_hunt,standard_pg,0.77,0.95,1,0.9694288979144764
basin,stag_hunt,standard_pg,0.8150000000000001,0.05,0,0.013210385024760015
basin,stag_hunt,standard_pg,0.8150000000000001,0.095,0,0.013339417298464438
basin,stag_hunt,standard_pg,0.8150000000000001,0.14,0,0.015172051699974176
basin,stag_hunt,standard_pg,0.8150000000000001,0.185,0,0.015385602445049608
basin,stag_hunt,standard_pg,0.8150000000000001,0.22999999999999998,0,0.01666372065207062
basin,stag_hunt,standard_pg,0.8150000000000001,0.27499999999999997,0,0.018566755799752612
basin,stag_hunt,standard_pg,0.8150000000000001,0.32,0,0.021116913072071582
basin,stag_hunt,standard_pg,0.8150000000000001,0.365,0,0.02028287918542969
basin,stag_hunt,standard_pg,0.8150000000000001,0.41,1,0.9380511969546632
