label,method,schedule,seed,final_coop_min,second_half_coop_mean,second_half_coop_std,success,final_lambda
meta_mapg_constant,meta_mapg,constant,48,0.9838489412416248,0.9785730236841323,0.004318209191232159,1,1.5
meta_mapg_constant,meta_mapg,constant,49,0.0067619197229730615,0.008709344572343684,0.001397204142792215,0,1.5
meta_mapg_constant,meta_mapg,constant,50,0.007935635476340942,0.010914589799112398,0.0022275985479863355,0,1.5
meta_mapg_constant,meta_mapg,constant,51,0.979745542732911,0.9724504213767008,0.005013241002625368,1,1.5
meta_mapg_constant,meta_mapg,constant,52,0.0073949673162028735,0.009875328721838252,0.0018091057473287881,0,1.5
meta_mapg_constant,meta_mapg,constant,53,0.007696362576654685,0.010471970334403528,0.002032404065545254,0,1.5
meta_mapg_constant,meta_mapg,constant,54,0.0075406907283255865,0.010118220958513346,0.0018997808460690813,0,1.5
meta_mapg_constant,meta_mapg,constant,55,0.007563502399586854,0.010189212089939628,0.0019346232541348953,0,1.5
meta_mapg_constant,meta_mapg,constant,56,0.006684540711951371,0.00860376472584378,0.001340864403757232,0,1.5
meta_mapg_constant,meta_mapg,constant,57,0.9831358335199141,0.9772353668990524,0.004764799698235998,1,1.5
meta_mapg_constant,meta_mapg,constant,58,0.007642386232985681,0.010328340903144047,0.001963771531171042,0,1.5
meta_mapg_constant,meta_mapg,constant,59,0.006287440388976533,0.007910725736308785,0.001159368198964001,0,1.5
meta_mapg_constant,meta_mapg,constant,60,0.9788699558286281,0.9674153893734213,0.0089927772480257,1,1.5
meta_mapg_constant,meta_mapg,constant,61,0.9836239982762734,0.9783667761045023,0.004292092820318918,1,1.5
meta_mapg_constant,meta_mapg,constant,62,0.9809176770575847,0.9753733969016334,0.00390144050175792,1,1.5
meta_mapg_constant,meta_mapg,constant,63,0.9862179789441238,0.9820735650126339,0.003178087062089144,1,1.5
meta_mapg_constant,meta_mapg,constant,64,0.9846014202189847,0.9802305253997216,0.0029386304281479453,1,1.5
meta_mapg_constant,meta_mapg,constant,65,0.007501375720538898,0.010069672391814184,0.0018919106526537235,0,1.5
meta_mapg_constant,meta_mapg,constant,66,0.007669250301545046,0.010404300923491927,0.0020278092207113452,0,1.5
meta_mapg_constant,meta_mapg,constant,67,0.007197106272479379,0.00951757063713613,0.001697504222708904,0,1.5
meta_mapg_constant,meta_mapg,constant,68,0.9835010949025106,0.9786541636896424,0.004379853655615462,1,1.5
meta_mapg_constant,meta_mapg,constant,69,0.9788265394993773,0.9669888346551051,0.010341803626572844,1,1.5
meta_mapg_constant,meta_mapg,constant,70,0.008557341900998765,0.012248292631169316,0.0028281820033235934,0,1.5
meta_mapg_constant,meta_mapg,constant,71,0.007299498165635318,0.009698876570798803,0.0017651703835322038,0,1.5
meta_mapg_constant,meta_mapg,constant,72,0.9833746200729416,0.9779032018143992,0.003963903399991564,1,1.5
meta_mapg_constant,meta_mapg,constant,73,0.006464680979121968,0.008302491350424424,0.0013060805371724867,0,1.5
meta_mapg_constant,meta_mapg,constant,74,0.01611462823064305,0.04316719800935113,0.03135769372525046,0,1.5
meta_mapg_constant,meta_mapg,constant,75,0.008248007877422489,0.011510904104580034,0.0024773732916301707,0,1.5
meta_mapg_constant,meta_mapg,constant,76,0.007922403511944369,0.01081261144041075,0.0021428590543445102,0,1.5
meta_mapg_constant,meta_mapg,constant,77,0.007189542464144582,0.009511730974078687,0.0016679900926523852,0,1.5
meta_mapg_constant,meta_mapg,constant,78,0.007147357839895193,0.009477745229447646,0.001688317715693374,0,1.5
meta_mapg_constant,meta_mapg,constant,79,0.9849052080194685,0.9799819762443864,0.004027382377912049,1,1.5
meta_mapg_two_phase,meta_mapg,two_phase,0,0.007371782645125674,0.009810755266209895,0.0018017595360890362,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,1,0.008934029113984205,0.012958607098880259,0.0030544821501071197,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,2,0.00788562548743017,0.010787188915095915,0.0021549318025343646,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,3,0.9803268492540689,0.9730937843712794,0.006019992858520369,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,4,0.983395040115125,0.9782658075794222,0.0036114717419686907,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,5,0.007754897935218499,0.010606461280940333,0.002113206879443056,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,6,0.007014812223751235,0.00916444114981621,0.0015230416877383202,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,7,0.982244620396652,0.9767435617115325,0.004644512949024498,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,8,0.9841152565927951,0.9790346461139059,0.0037672015836206557,1,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,9,0.007763262533147515,0.010598448089160582,0.0020963430526792564,0,0.4135736630047511
meta_mapg_two_phase,meta_mapg,two_phase,10,0.9833019375810684,0.9767474625311384,0.004850375186901542,1,0.4135736630047511
